census_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,historical_controle_civil,centroid_lat,centroid_lon,area_km2,pop_total,pop_tunisian_muslim,pop_tunisian_jewish,pop_french,pop_italian,pop_maltese,pop_other_european,pop_male,pop_female,num_households,pop_urban_commune,pop_european_total,share_european,share_french,share_italian,share_maltese,share_jewish,share_muslim,ratio_italian_to_french,urbanization_rate,sex_ratio,persons_per_household,pop_density,log_pop_total,log_pop_density,ethno_fractionalization
1921,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,TN_TERR_SUD,33.7044,8.9692,22000.0,38964,38722,125,70,41,4,2,19949,19015,7640,0,117,0.003,0.0018,0.00105,0.0001,0.00321,0.99379,0.5857,0.0,1.0491,5.1,1.77,10.5704,0.5716,0.0124
1926,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,TN_TERR_SUD,33.7044,8.9692,22000.0,40187,39922,130,81,48,5,1,20576,19611,7880,0,135,0.00336,0.00202,0.00119,0.00012,0.00323,0.99341,0.5926,0.0,1.0492,5.1,1.83,10.6013,0.6025,0.0131
1931,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,TN_TERR_SUD,33.7044,8.9692,22000.0,44858,44545,145,101,58,5,4,22968,21890,8795,0,168,0.00375,0.00225,0.00129,0.00011,0.00323,0.99302,0.5743,0.0,1.0492,5.1,2.04,10.7113,0.7125,0.0139
1936,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,TN_TERR_SUD,33.7044,8.9692,22000.0,48535,48165,172,119,69,7,3,24850,23685,9517,0,198,0.00408,0.00245,0.00142,0.00014,0.00354,0.99238,0.5798,0.0,1.0492,5.1,2.21,10.79,0.7912,0.0152
1946,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,TN_TERR_SUD,33.7044,8.9692,22000.0,60121,59698,213,126,74,8,2,30782,29339,11788,0,210,0.00349,0.0021,0.00123,0.00013,0.00354,0.99296,0.5873,0.0,1.0492,5.1,2.73,11.0041,1.0053,0.014
1956,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,TN_TERR_SUD,33.7044,8.9692,22000.0,70396,69961,216,132,77,8,2,36043,34353,13803,0,219,0.00311,0.00188,0.00109,0.00011,0.00307,0.99382,0.5833,0.0,1.0492,5.1,3.2,11.1619,1.1631,0.0123
1921,HSU_KERKENNAH,Kerkennah,قرقنة,South,TN_CC_SFAX,34.7333,11.2167,160.0,11545,11486,12,19,26,2,0,5911,5634,2264,0,47,0.00407,0.00165,0.00225,0.00017,0.00104,0.99489,1.3684,0.0,1.0492,5.1,72.16,9.354,4.2788,0.0102
1926,HSU_KERKENNAH,Kerkennah,قرقنة,South,TN_CC_SFAX,34.7333,11.2167,160.0,11907,11841,12,22,30,2,0,6096,5811,2335,0,54,0.00454,0.00185,0.00252,0.00017,0.00101,0.99446,1.3636,0.0,1.049,5.1,74.42,9.3849,4.3097,0.011
1931,HSU_KERKENNAH,Kerkennah,قرقنة,South,TN_CC_SFAX,34.7333,11.2167,160.0,13291,13210,13,27,37,2,2,6805,6486,2606,0,68,0.00512,0.00203,0.00278,0.00015,0.00098,0.99391,1.3704,0.0,1.0492,5.1,83.07,9.4948,4.4197,0.0121
1936,HSU_KERKENNAH,Kerkennah,قرقنة,South,TN_CC_SFAX,34.7333,11.2167,160.0,14381,14285,16,32,44,3,1,7363,7018,2820,0,80,0.00556,0.00223,0.00306,0.00021,0.00111,0.99332,1.375,0.0,1.0492,5.1,89.88,9.5737,4.4985,0.0133
1946,HSU_KERKENNAH,Kerkennah,قرقنة,South,TN_CC_SFAX,34.7333,11.2167,160.0,17814,17709,20,34,47,3,1,9121,8693,3493,0,85,0.00477,0.00191,0.00264,0.00017,0.00112,0.99411,1.3824,0.0,1.0492,5.1,111.34,9.7877,4.7126,0.0117
1956,HSU_KERKENNAH,Kerkennah,قرقنة,South,TN_CC_SFAX,34.7333,11.2167,160.0,20858,20749,20,36,49,3,1,10679,10179,4090,0,89,0.00427,0.00173,0.00235,0.00014,0.00096,0.99477,1.3611,0.0,1.0491,5.1,130.36,9.9455,4.8703,0.0104
1921,HSU_LE_KEF,Le Kef,الكاف,North-West,TN_CC_LE_KEF,36.1742,8.7047,1900.0,51952,49074,606,1285,873,80,34,26599,25353,10187,8659,2272,0.04373,0.02473,0.0168,0.00154,0.01166,0.9446,0.6794,0.16667,1.0491,5.1,27.34,10.8581,3.3085,0.1067
1926,HSU_LE_KEF,Le Kef,الكاف,North-West,TN_CC_LE_KEF,36.1742,8.7047,1900.0,53584,50357,626,1471,1000,91,39,27435,26149,10506,8931,2601,0.04854,0.02745,0.01866,0.0017,0.01168,0.93978,0.6798,0.16667,1.0492,5.1,28.2,10.889,3.3394,0.1156
1931,HSU_LE_KEF,Le Kef,الكاف,North-West,TN_CC_LE_KEF,36.1742,8.7047,1900.0,59810,55859,697,1840,1251,114,49,30623,29187,11728,9968,3254,0.05441,0.03076,0.02092,0.00191,0.01165,0.93394,0.6799,0.16666,1.0492,5.1,31.48,10.9989,3.4493,0.1262
1936,HSU_LE_KEF,Le Kef,الكاف,North-West,TN_CC_LE_KEF,36.1742,8.7047,1900.0,64714,60053,830,2167,1473,134,57,33133,31581,12689,10786,3831,0.0592,0.03349,0.02276,0.00207,0.01283,0.92798,0.6797,0.16667,1.0491,5.1,34.06,11.0777,3.5281,0.1371
1946,HSU_LE_KEF,Le Kef,الكاف,North-West,TN_CC_LE_KEF,36.1742,8.7047,1900.0,80161,74395,1029,2668,1831,165,73,41042,39119,15718,13360,4737,0.05909,0.03328,0.02284,0.00206,0.01284,0.92807,0.6863,0.16666,1.0492,5.1,42.19,11.2918,3.7422,0.1369
1956,HSU_LE_KEF,Le Kef,الكاف,North-West,TN_CC_LE_KEF,36.1742,8.7047,1900.0,93863,87191,1040,3164,2186,198,84,48058,45805,18404,15644,5632,0.06,0.03371,0.02329,0.00211,0.01108,0.92892,0.6909,0.16667,1.0492,5.1,49.4,11.4496,3.9,0.1353
1921,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.5047,11.0622,1600.0,59168,56627,577,859,999,75,31,30294,28874,11602,8659,1964,0.03319,0.01452,0.01688,0.00127,0.00975,0.95705,1.163,0.14635,1.0492,5.1,36.98,10.9881,3.6104,0.0835
1926,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.5047,11.0622,1600.0,61026,58182,596,983,1143,86,36,31246,29780,11966,8931,2248,0.03684,0.01611,0.01873,0.00141,0.00977,0.9534,1.1628,0.14635,1.0492,5.1,38.14,11.0191,3.6413,0.0903
1931,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.5047,11.0622,1600.0,68117,64640,664,1230,1431,107,45,34876,33241,13357,9968,2813,0.0413,0.01806,0.02101,0.00157,0.00975,0.94896,1.1634,0.14634,1.0492,5.1,42.57,11.129,3.7512,0.0986
1936,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.5047,11.0622,1600.0,73702,69598,791,1449,1684,126,54,37735,35967,14451,10786,3313,0.04495,0.01966,0.02285,0.00171,0.01073,0.94432,1.1622,0.14635,1.0492,5.1,46.06,11.2078,3.83,0.1072
1946,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.5047,11.0622,1600.0,91295,86312,980,1757,2031,150,65,46743,44552,17901,13360,4003,0.04385,0.01925,0.02225,0.00164,0.01073,0.94542,1.1559,0.14634,1.0492,5.1,57.06,11.4219,4.0441,0.1052
1956,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.5047,11.0622,1600.0,106899,101228,991,2059,2371,175,75,54733,52166,20960,15644,4680,0.04378,0.01926,0.02218,0.00164,0.00927,0.94695,1.1515,0.14634,1.0492,5.1,66.81,11.5796,4.2019,0.1023
1921,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,TN_CC_KAIROUAN,35.85,9.2,2100.0,38964,37721,130,630,433,35,15,19950,19014,7640,2886,1113,0.02856,0.01617,0.01111,0.0009,0.00334,0.9681,0.6873,0.07407,1.0492,5.1,18.55,10.5704,2.9207,0.0624
1926,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,TN_CC_KAIROUAN,35.85,9.2,2100.0,40188,38781,134,721,495,40,17,20576,19612,7880,2977,1273,0.03168,0.01794,0.01232,0.001,0.00333,0.96499,0.6865,0.07408,1.0492,5.1,19.14,10.6013,2.9516,0.0683
1931,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,TN_CC_KAIROUAN,35.85,9.2,2100.0,44858,43116,149,901,620,50,22,22967,21891,8796,3323,1593,0.03551,0.02009,0.01382,0.00111,0.00332,0.96117,0.6881,0.07408,1.0492,5.1,21.36,10.7113,3.0616,0.0756
1936,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,TN_CC_KAIROUAN,35.85,9.2,2100.0,48535,46481,178,1062,730,59,25,24850,23685,9517,3595,1876,0.03865,0.02188,0.01504,0.00122,0.00367,0.95768,0.6874,0.07407,1.0492,5.1,23.11,10.79,3.1403,0.0821
1946,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,TN_CC_KAIROUAN,35.85,9.2,2100.0,60121,57687,220,1250,864,70,30,30782,29339,11788,4453,2214,0.03683,0.02079,0.01437,0.00116,0.00366,0.95951,0.6912,0.07407,1.0492,5.1,28.63,11.0041,3.3544,0.0787
1956,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,TN_CC_KAIROUAN,35.85,9.2,2100.0,70397,67632,223,1432,995,81,34,36043,34354,13804,5215,2542,0.03611,0.02034,0.01413,0.00115,0.00317,0.96072,0.6948,0.07408,1.0492,5.1,33.52,11.1619,3.5122,0.0764
1921,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,TN_CC_BIZERTE,37.04,9.665,1200.0,37520,35106,332,1093,884,72,33,19210,18310,7357,5772,2082,0.05549,0.02913,0.02356,0.00192,0.00885,0.93566,0.8088,0.15384,1.0492,5.1,31.27,10.5326,3.4426,0.1231
1926,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,TN_CC_BIZERTE,37.04,9.665,1200.0,38699,35972,343,1252,1013,84,35,19813,18886,7588,5954,2384,0.0616,0.03235,0.02618,0.00217,0.00886,0.92953,0.8091,0.15385,1.0491,5.1,32.25,10.5636,3.4735,0.1342
1931,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,TN_CC_BIZERTE,37.04,9.665,1200.0,43197,39833,382,1566,1267,104,45,22117,21080,8470,6646,2982,0.06903,0.03625,0.02933,0.00241,0.00884,0.92212,0.8091,0.15385,1.0492,5.1,36.0,10.6735,3.5834,0.1474
1936,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,TN_CC_BIZERTE,37.04,9.665,1200.0,46737,42770,455,1844,1492,122,54,23929,22808,9164,7190,3512,0.07514,0.03945,0.03192,0.00261,0.00974,0.91512,0.8091,0.15384,1.0491,5.1,38.95,10.7523,3.6622,0.1599
1946,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,TN_CC_BIZERTE,37.04,9.665,1200.0,57895,53158,563,2180,1785,146,63,29642,28253,11351,8907,4174,0.0721,0.03765,0.03083,0.00252,0.00972,0.91818,0.8188,0.15385,1.0492,5.1,48.25,10.9664,3.8763,0.1545
1956,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,TN_CC_BIZERTE,37.04,9.665,1200.0,67789,62402,569,2506,2071,168,73,34708,33081,13292,10429,4818,0.07107,0.03697,0.03055,0.00248,0.00839,0.92053,0.8264,0.15385,1.0492,5.1,56.49,11.1242,4.0341,0.1502
1921,HSU_MATMATA,Matmata,مطماطة,South,TN_TERR_SUD,33.5431,9.9675,4500.0,14431,14381,14,22,13,1,0,7389,7042,2830,0,36,0.00249,0.00152,0.0009,7e-05,0.00097,0.99654,0.5909,0.0,1.0493,5.1,3.21,9.5771,1.1653,0.0069
1926,HSU_MATMATA,Matmata,مطماطة,South,TN_TERR_SUD,33.5431,9.9675,4500.0,14884,14828,15,25,14,1,1,7621,7263,2918,0,41,0.00275,0.00168,0.00094,7e-05,0.00101,0.99624,0.56,0.0,1.0493,5.1,3.31,9.608,1.1962,0.0075
1931,HSU_MATMATA,Matmata,مطماطة,South,TN_TERR_SUD,33.5431,9.9675,4500.0,16614,16546,17,31,18,2,0,8506,8108,3258,0,51,0.00307,0.00187,0.00108,0.00012,0.00102,0.99591,0.5806,0.0,1.0491,5.1,3.69,9.718,1.3062,0.0082
1936,HSU_MATMATA,Matmata,مطماطة,South,TN_TERR_SUD,33.5431,9.9675,4500.0,17976,17896,20,36,21,2,1,9204,8772,3525,0,60,0.00334,0.002,0.00117,0.00011,0.00111,0.99555,0.5833,0.0,1.0492,5.1,3.99,9.7968,1.385,0.0089
1946,HSU_MATMATA,Matmata,مطماطة,South,TN_TERR_SUD,33.5431,9.9675,4500.0,22267,22180,24,38,22,2,1,11401,10866,4366,0,63,0.00283,0.00171,0.00099,9e-05,0.00108,0.99609,0.5789,0.0,1.0492,5.1,4.95,10.0109,1.599,0.0078
1956,HSU_MATMATA,Matmata,مطماطة,South,TN_TERR_SUD,33.5431,9.9675,4500.0,26073,25982,25,40,23,2,1,13349,12724,5112,0,66,0.00253,0.00153,0.00088,8e-05,0.00096,0.99651,0.575,0.0,1.0491,5.1,5.79,10.1687,1.7568,0.007
1921,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,TN_TERR_SUD,33.3547,10.5053,8500.0,69269,67210,953,609,443,38,16,35465,33804,13583,18760,1106,0.01597,0.00879,0.0064,0.00055,0.01376,0.97028,0.7274,0.27083,1.0491,5.1,8.15,11.1458,2.0979,0.0583
1926,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,TN_TERR_SUD,33.3547,10.5053,8500.0,71445,69196,983,696,507,44,19,36580,34865,14008,19350,1266,0.01772,0.00974,0.0071,0.00062,0.01376,0.96852,0.7284,0.27084,1.0492,5.1,8.41,11.1767,2.1289,0.0616
1931,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,TN_TERR_SUD,33.3547,10.5053,8500.0,79747,77067,1096,871,634,55,24,40831,38916,15637,21598,1584,0.01986,0.01092,0.00795,0.00069,0.01374,0.96639,0.7279,0.27083,1.0492,5.1,9.38,11.2866,2.2388,0.0657
1936,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,TN_TERR_SUD,33.3547,10.5053,8500.0,86285,83114,1305,1026,748,65,27,44177,42108,16918,23369,1866,0.02163,0.01189,0.00867,0.00075,0.01512,0.96325,0.729,0.27084,1.0491,5.1,10.15,11.3654,2.3176,0.0717
1946,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,TN_TERR_SUD,33.3547,10.5053,8500.0,106882,102900,1616,1302,947,84,33,54723,52159,20957,28947,2366,0.02214,0.01218,0.00886,0.00079,0.01512,0.96274,0.7273,0.27083,1.0492,5.1,12.57,11.5795,2.5317,0.0727
1956,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,TN_TERR_SUD,33.3547,10.5053,8500.0,125150,120650,1635,1576,1145,100,44,64078,61072,24539,33895,2865,0.02289,0.01259,0.00915,0.0008,0.01306,0.96404,0.7265,0.27083,1.0492,5.1,14.72,11.7373,2.6894,0.0702
1921,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,TN_CC_BEJA,36.65,9.61,1250.0,40406,37336,419,1509,1010,93,39,20687,19719,7923,8658,2651,0.06561,0.03735,0.025,0.0023,0.01037,0.92402,0.6693,0.21428,1.0491,5.1,32.32,10.6067,3.4758,0.1441
1926,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,TN_CC_BEJA,36.65,9.61,1250.0,41675,38209,432,1726,1156,106,46,21337,20338,8171,8930,3034,0.0728,0.04142,0.02774,0.00254,0.01037,0.91683,0.6698,0.21428,1.0491,5.1,33.34,10.6377,3.5068,0.1568
1931,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,TN_CC_BEJA,36.65,9.61,1250.0,46519,42241,482,2161,1445,132,58,23818,22701,9121,9968,3796,0.0816,0.04645,0.03106,0.00284,0.01036,0.90804,0.6687,0.21428,1.0492,5.1,37.22,10.7476,3.6167,0.1722
1936,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,TN_CC_BEJA,36.65,9.61,1250.0,50333,45289,574,2545,1702,157,66,25770,24563,9868,10786,4470,0.08881,0.05056,0.03381,0.00312,0.0114,0.89979,0.6688,0.21429,1.0491,5.1,40.27,10.8264,3.6955,0.1865
1946,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,TN_CC_BEJA,36.65,9.61,1250.0,62348,56315,710,3013,2044,186,80,31922,30426,12225,13360,5323,0.08538,0.04833,0.03278,0.00298,0.01139,0.90324,0.6784,0.21428,1.0492,5.1,49.88,11.0405,3.9096,0.1806
1956,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,TN_CC_BEJA,36.65,9.61,1250.0,73004,66133,718,3467,2378,215,93,37378,35626,14315,15644,6153,0.08428,0.04749,0.03257,0.00295,0.00984,0.90588,0.6859,0.21429,1.0492,5.1,58.4,11.1983,4.0674,0.176
1921,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,TN_CC_GROMBALIA,36.78,10.99,750.0,54837,52718,462,706,868,58,25,28076,26761,10753,11544,1657,0.03022,0.01287,0.01583,0.00106,0.00842,0.96136,1.2295,0.21051,1.0491,5.1,73.12,10.9121,4.292,0.0753
1926,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,TN_CC_GROMBALIA,36.78,10.99,750.0,56561,54189,476,808,993,66,29,28958,27603,11089,11908,1896,0.03352,0.01429,0.01756,0.00117,0.00842,0.95806,1.229,0.21053,1.0491,5.1,75.41,10.9431,4.323,0.0815
1931,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,TN_CC_GROMBALIA,36.78,10.99,750.0,63134,60230,532,1011,1242,83,36,32325,30809,12379,13292,2372,0.03757,0.01601,0.01967,0.00131,0.00843,0.954,1.2285,0.21054,1.0492,5.1,84.18,11.053,4.4329,0.0892
1936,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,TN_CC_GROMBALIA,36.78,10.99,750.0,68308,64881,634,1190,1463,98,42,34973,33335,13394,14380,2793,0.04089,0.01742,0.02142,0.00143,0.00928,0.94983,1.2294,0.21052,1.0491,5.1,91.08,11.1318,4.5117,0.097
1946,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,TN_CC_GROMBALIA,36.78,10.99,750.0,84615,80460,784,1428,1774,117,52,43322,41293,16590,17814,3371,0.03984,0.01688,0.02097,0.00138,0.00927,0.9509,1.2423,0.21053,1.0491,5.1,112.82,11.3459,4.7258,0.095
1956,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,TN_CC_GROMBALIA,36.78,10.99,750.0,99077,94347,793,1662,2078,139,58,50728,48349,19427,20858,3937,0.03974,0.01677,0.02097,0.0014,0.008,0.95226,1.2503,0.21052,1.0492,5.1,132.1,11.5037,4.8836,0.0924
1921,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.778,10.8262,1050.0,83701,80787,1068,865,888,65,28,42855,40846,16412,25977,1846,0.02205,0.01033,0.01061,0.00078,0.01276,0.96519,1.0266,0.31035,1.0492,5.1,79.72,11.335,4.3785,0.068
1926,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.778,10.8262,1050.0,86329,83115,1101,991,1018,74,30,44201,42128,16927,26792,2113,0.02448,0.01148,0.01179,0.00086,0.01275,0.96277,1.0272,0.31035,1.0492,5.1,82.22,11.3659,4.4094,0.0726
1931,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.778,10.8262,1050.0,96361,92488,1230,1239,1271,93,40,49337,47024,18895,29905,2643,0.02743,0.01286,0.01319,0.00097,0.01276,0.95981,1.0258,0.31034,1.0492,5.1,91.77,11.4759,4.5193,0.0783
1936,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.778,10.8262,1050.0,104261,99685,1463,1459,1498,109,47,53381,50880,20443,32357,3113,0.02986,0.01399,0.01437,0.00105,0.01403,0.95611,1.0267,0.31035,1.0492,5.1,99.3,11.5547,4.5981,0.0853
1946,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.778,10.8262,1050.0,129149,123545,1812,1782,1819,132,59,66125,63024,25323,40081,3792,0.02936,0.0138,0.01408,0.00102,0.01403,0.95661,1.0208,0.31035,1.0492,5.1,123.0,11.7687,4.8122,0.0843
1956,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.778,10.8262,1050.0,151222,144929,1834,2101,2135,156,67,77426,73796,29651,46931,4459,0.02949,0.01389,0.01412,0.00103,0.01213,0.95839,1.0162,0.31035,1.0492,5.1,144.02,11.9265,4.97,0.081
1921,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,TN_CC_GROMBALIA,36.4561,10.7375,600.0,56281,51352,1876,1447,1469,97,40,28815,27466,11036,15874,3053,0.05425,0.02571,0.0261,0.00172,0.03333,0.91242,1.0152,0.28205,1.0491,5.1,93.8,10.9381,4.5412,0.165
1926,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,TN_CC_GROMBALIA,36.4561,10.7375,600.0,58049,52618,1936,1656,1680,111,48,29721,28328,11382,16373,3495,0.06021,0.02853,0.02894,0.00191,0.03335,0.90644,1.0145,0.28205,1.0492,5.1,96.75,10.969,4.5721,0.1756
1931,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,TN_CC_GROMBALIA,36.4561,10.7375,600.0,64795,58265,2159,2071,2103,138,59,33176,31619,12704,18276,4371,0.06746,0.03196,0.03246,0.00213,0.03332,0.89922,1.0155,0.28206,1.0492,5.1,107.99,11.079,4.6821,0.1882
1936,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,TN_CC_GROMBALIA,36.4561,10.7375,600.0,70106,62388,2570,2440,2476,163,69,35893,34213,13746,19773,5148,0.07343,0.0348,0.03532,0.00233,0.03666,0.88991,1.0148,0.28204,1.0491,5.1,116.84,11.1578,4.7608,0.2043
1946,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,TN_CC_GROMBALIA,36.4561,10.7375,600.0,86842,77308,3185,3019,3044,199,87,44463,42379,17027,24494,6349,0.07311,0.03476,0.03505,0.00229,0.03668,0.89021,1.0083,0.28205,1.0492,5.1,144.74,11.3718,4.9749,0.2037
1956,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,TN_CC_GROMBALIA,36.4561,10.7375,600.0,101684,90932,3220,3591,3606,235,100,52063,49621,19939,28680,7532,0.07407,0.03532,0.03546,0.00231,0.03167,0.89426,1.0042,0.28205,1.0492,5.1,169.47,11.5296,5.1327,0.1968
1921,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,TN_CC_BEJA,36.95,9.07,850.0,25976,25630,26,192,112,11,5,13300,12676,5093,0,320,0.01232,0.00739,0.00431,0.00042,0.001,0.98668,0.5833,0.0,1.0492,5.1,30.56,10.1649,3.4197,0.0264
1926,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,TN_CC_BEJA,36.95,9.07,850.0,26792,26399,27,220,128,13,5,13718,13074,5253,0,366,0.01366,0.00821,0.00478,0.00049,0.00101,0.98533,0.5818,0.0,1.0493,5.1,31.52,10.1959,3.4506,0.029
1931,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,TN_CC_BEJA,36.95,9.07,850.0,29905,29417,30,275,160,16,7,15311,14594,5864,0,458,0.01532,0.0092,0.00535,0.00054,0.001,0.98368,0.5818,0.0,1.0491,5.1,35.18,10.3058,3.5605,0.0323
1936,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,TN_CC_BEJA,36.95,9.07,850.0,32357,31782,36,323,189,19,8,16567,15790,6345,0,539,0.01666,0.00998,0.00584,0.00059,0.00111,0.98223,0.5851,0.0,1.0492,5.1,38.07,10.3846,3.6393,0.0351
1946,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,TN_CC_BEJA,36.95,9.07,850.0,40081,39466,44,343,200,20,8,20521,19560,7859,0,571,0.01425,0.00856,0.00499,0.0005,0.0011,0.98466,0.5831,0.0,1.0491,5.1,47.15,10.5987,3.8534,0.0304
1956,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,TN_CC_BEJA,36.95,9.07,850.0,46931,46288,45,359,209,21,9,24029,22902,9202,0,598,0.01274,0.00765,0.00445,0.00045,0.00096,0.9863,0.5822,0.0,1.0492,5.1,55.21,10.7564,4.0112,0.0271
1921,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,TN_CC_THALA,35.23,9.13,3100.0,31748,31325,32,235,137,14,5,16255,15493,6225,0,391,0.01232,0.0074,0.00432,0.00044,0.00101,0.98668,0.583,0.0,1.0492,5.1,10.24,10.3656,2.3264,0.0264
1926,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,TN_CC_THALA,35.23,9.13,3100.0,32745,32265,33,268,156,16,7,16765,15980,6421,0,447,0.01365,0.00818,0.00476,0.00049,0.00101,0.98534,0.5821,0.0,1.0491,5.1,10.56,10.3965,2.3573,0.029
1931,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,TN_CC_THALA,35.23,9.13,3100.0,36551,35955,37,335,196,20,8,18714,17837,7167,0,559,0.01529,0.00917,0.00536,0.00055,0.00101,0.98369,0.5851,0.0,1.0492,5.1,11.79,10.5065,2.4673,0.0322
1936,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,TN_CC_THALA,35.23,9.13,3100.0,39547,38845,44,395,230,23,10,20248,19299,7754,0,658,0.01664,0.00999,0.00582,0.00058,0.00111,0.98225,0.5823,0.0,1.0492,5.1,12.76,10.5852,2.5461,0.0351
1946,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,TN_CC_THALA,35.23,9.13,3100.0,48988,48236,54,419,244,24,11,25082,23906,9605,0,698,0.01425,0.00855,0.00498,0.00049,0.0011,0.98465,0.5823,0.0,1.0492,5.1,15.8,10.7993,2.7602,0.0304
