census_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,pop_european_total,pop_french,pop_italian,pop_maltese,pop_other_european,ratio_italian_to_french,data_scope
1926,HSU_MATMATA,Matmata,مطماطة,South,41,25,14,1,1,0.56,General Census (Simultaneous)
1931,HSU_MATMATA,Matmata,مطماطة,South,51,31,18,2,0,0.5806,General Census (Simultaneous)
1936,HSU_MATMATA,Matmata,مطماطة,South,60,36,21,2,1,0.5833,General Census (Simultaneous)
1946,HSU_MATMATA,Matmata,مطماطة,South,63,38,22,2,1,0.5789,General Census (Simultaneous)
1956,HSU_MATMATA,Matmata,مطماطة,South,66,40,23,2,1,0.575,General Census (Simultaneous)
1891,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,253,70,120,53,10,1.7143,European Census Only
1896,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,493,114,312,54,13,2.7368,European Census Only
1901,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,658,170,406,63,19,2.3882,European Census Only
1906,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,912,287,541,64,20,1.885,European Census Only
1911,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,1063,382,588,70,23,1.5393,European Census Only
1921,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,1106,609,443,38,16,0.7274,General Census (Simultaneous)
1926,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,1266,696,507,44,19,0.7284,General Census (Simultaneous)
1931,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,1584,871,634,55,24,0.7279,General Census (Simultaneous)
1936,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,1866,1026,748,65,27,0.729,General Census (Simultaneous)
1946,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,2366,1302,947,84,33,0.7273,General Census (Simultaneous)
1956,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,2865,1576,1145,100,44,0.7265,General Census (Simultaneous)
1891,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,600,174,273,129,24,1.569,European Census Only
1896,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,1158,283,711,132,32,2.5124,European Census Only
1901,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,1548,422,926,155,45,2.1943,European Census Only
1906,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,2151,711,1234,157,49,1.7356,European Census Only
1911,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,2512,946,1340,172,54,1.4165,European Census Only
1921,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,2651,1509,1010,93,39,0.6693,General Census (Simultaneous)
1926,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,3034,1726,1156,106,46,0.6698,General Census (Simultaneous)
1931,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,3796,2161,1445,132,58,0.6687,General Census (Simultaneous)
1936,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,4470,2545,1702,157,66,0.6688,General Census (Simultaneous)
1946,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,5323,3013,2044,186,80,0.6784,General Census (Simultaneous)
1956,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,6153,3467,2378,215,93,0.6859,General Census (Simultaneous)
1891,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,411,81,235,80,15,2.9012,European Census Only
1896,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,845,132,611,82,20,4.6288,European Census Only
1901,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,1119,198,796,97,28,4.0202,European Census Only
1906,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,1523,333,1061,98,31,3.1862,European Census Only
1911,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,1734,442,1151,107,34,2.6041,European Census Only
1921,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,1657,706,868,58,25,1.2295,General Census (Simultaneous)
1926,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,1896,808,993,66,29,1.229,General Census (Simultaneous)
1931,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,2372,1011,1242,83,36,1.2285,General Census (Simultaneous)
1936,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,2793,1190,1463,98,42,1.2294,General Census (Simultaneous)
1946,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,3371,1428,1774,117,52,1.2423,General Census (Simultaneous)
1956,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,3937,1662,2078,139,58,1.2503,General Census (Simultaneous)
1891,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,446,100,240,90,16,2.4,European Census Only
1896,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,901,162,625,92,22,3.858,European Census Only
1901,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,1195,242,814,108,31,3.3636,European Census Only
1906,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,1636,407,1085,110,34,2.6658,European Census Only
1911,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,1878,542,1178,120,38,2.1734,European Census Only
1921,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,1846,865,888,65,28,1.0266,General Census (Simultaneous)
1926,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,2113,991,1018,74,30,1.0272,General Census (Simultaneous)
1931,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,2643,1239,1271,93,40,1.0258,General Census (Simultaneous)
1936,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,3113,1459,1498,109,47,1.0267,General Census (Simultaneous)
1946,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,3792,1782,1819,132,59,1.0208,General Census (Simultaneous)
1956,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,4459,2101,2135,156,67,1.0162,General Census (Simultaneous)
1891,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,726,167,397,135,27,2.3772,European Census Only
1896,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,1479,271,1034,137,37,3.8155,European Census Only
1901,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,1964,405,1346,162,51,3.3235,European Census Only
1906,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,2697,682,1795,164,56,2.632,European Census Only
1911,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,3098,907,1949,179,63,2.1488,European Census Only
1921,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,3053,1447,1469,97,40,1.0152,General Census (Simultaneous)
1926,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,3495,1656,1680,111,48,1.0145,General Census (Simultaneous)
1931,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,4371,2071,2103,138,59,1.0155,General Census (Simultaneous)
1936,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,5148,2440,2476,163,69,1.0148,General Census (Simultaneous)
1946,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,6349,3019,3044,199,87,1.0083,General Census (Simultaneous)
1956,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,7532,3591,3606,235,100,1.0042,General Census (Simultaneous)
1891,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,70,22,30,15,3,1.3636,European Census Only
1896,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,135,36,79,16,4,2.1944,European Census Only
1901,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,180,54,103,18,5,1.9074,European Census Only
1906,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,252,90,137,19,6,1.5222,European Census Only
1911,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,296,120,149,20,7,1.2417,European Census Only
1921,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,320,192,112,11,5,0.5833,General Census (Simultaneous)
1926,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,366,220,128,13,5,0.5818,General Census (Simultaneous)
1931,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,458,275,160,16,7,0.5818,General Census (Simultaneous)
1936,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,539,323,189,19,8,0.5851,General Census (Simultaneous)
1946,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,571,343,200,20,8,0.5831,General Census (Simultaneous)
1956,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,598,359,209,21,9,0.5822,General Census (Simultaneous)
1891,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,86,27,37,19,3,1.3704,European Census Only
1896,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,165,44,96,20,5,2.1818,European Census Only
1901,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,222,66,126,23,7,1.9091,European Census Only
1906,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,309,111,167,24,7,1.5045,European Census Only
1911,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,363,147,182,26,8,1.2381,European Census Only
1921,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,391,235,137,14,5,0.583,General Census (Simultaneous)
1926,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,447,268,156,16,7,0.5821,General Census (Simultaneous)
1931,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,559,335,196,20,8,0.5851,General Census (Simultaneous)
1936,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,658,395,230,23,10,0.5823,General Census (Simultaneous)
1946,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,698,419,244,24,11,0.5823,General Census (Simultaneous)
1956,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,731,439,256,26,10,0.5831,General Census (Simultaneous)
1891,HSU_SERS,Le Sers,السرس,North-West,95,30,40,21,4,1.3333,European Census Only
1896,HSU_SERS,Le Sers,السرس,North-West,179,48,105,21,5,2.1875,European Census Only
1901,HSU_SERS,Le Sers,السرس,North-West,241,72,137,25,7,1.9028,European Census Only
1906,HSU_SERS,Le Sers,السرس,North-West,336,121,182,25,8,1.5041,European Census Only
1911,HSU_SERS,Le Sers,السرس,North-West,395,160,198,28,9,1.2375,European Census Only
1921,HSU_SERS,Le Sers,السرس,North-West,426,256,149,15,6,0.582,General Census (Simultaneous)
1926,HSU_SERS,Le Sers,السرس,North-West,488,293,171,17,7,0.5836,General Census (Simultaneous)
1931,HSU_SERS,Le Sers,السرس,North-West,610,366,214,21,9,0.5847,General Census (Simultaneous)
1936,HSU_SERS,Le Sers,السرس,North-West,718,431,251,25,11,0.5824,General Census (Simultaneous)
1946,HSU_SERS,Le Sers,السرس,North-West,762,457,267,27,11,0.5842,General Census (Simultaneous)
1956,HSU_SERS,Le Sers,السرس,North-West,798,479,279,28,12,0.5825,General Census (Simultaneous)
1891,HSU_SFAX,Sfax,صفاقس,South,2798,629,1442,651,76,2.2925,European Census Only
1896,HSU_SFAX,Sfax,صفاقس,South,5549,1023,3758,665,103,3.6735,European Census Only
1901,HSU_SFAX,Sfax,صفاقس,South,7345,1527,4892,783,143,3.2037,European Census Only
1906,HSU_SFAX,Sfax,صفاقس,South,7464,1899,4822,586,157,2.5392,European Census Only
1911,HSU_SFAX,Sfax,صفاقس,South,8574,2526,5233,641,174,2.0717,European Census Only
1921,HSU_SFAX,Sfax,صفاقس,South,8472,4031,3945,347,149,0.9787,General Census (Simultaneous)
1926,HSU_SFAX,Sfax,صفاقس,South,9697,4614,4515,397,171,0.9785,General Census (Simultaneous)
1931,HSU_SFAX,Sfax,صفاقس,South,12134,5774,5650,497,213,0.9785,General Census (Simultaneous)
1936,HSU_SFAX,Sfax,صفاقس,South,14286,6798,6652,586,250,0.9785,General Census (Simultaneous)
1946,HSU_SFAX,Sfax,صفاقس,South,18301,8721,8504,754,322,0.9751,General Census (Simultaneous)
1956,HSU_SFAX,Sfax,صفاقس,South,22292,10633,10343,921,395,0.9727,General Census (Simultaneous)
1891,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,45,12,21,10,2,1.75,European Census Only
1896,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,85,19,54,10,2,2.8421,European Census Only
1901,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,114,29,70,12,3,2.4138,European Census Only
1906,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,157,49,93,12,3,1.898,European Census Only
1911,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,183,65,101,13,4,1.5538,European Census Only
1921,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,189,104,76,7,2,0.7308,General Census (Simultaneous)
1926,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,217,119,87,8,3,0.7311,General Census (Simultaneous)
1931,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,271,149,108,9,5,0.7248,General Census (Simultaneous)
1936,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,319,175,128,11,5,0.7314,General Census (Simultaneous)
1946,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,338,186,135,12,5,0.7258,General Census (Simultaneous)
1956,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,355,195,142,12,6,0.7282,General Census (Simultaneous)
1891,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,430,80,252,83,15,3.15,European Census Only
1896,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,893,130,657,85,21,5.0538,European Census Only
1901,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,1179,195,855,100,29,4.3846,European Census Only
1906,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,1601,328,1140,101,32,3.4756,European Census Only
1911,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,1820,436,1238,111,35,2.8394,European Census Only
1921,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,1715,696,933,60,26,1.3405,General Census (Simultaneous)
1926,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,1963,798,1068,68,29,1.3383,General Census (Simultaneous)
1931,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,2458,998,1336,86,38,1.3387,General Census (Simultaneous)
1936,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,2893,1175,1573,101,44,1.3387,General Census (Simultaneous)
1946,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,3297,1342,1789,115,51,1.3331,General Census (Simultaneous)
1956,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,3683,1502,1997,129,55,1.3296,General Census (Simultaneous)
1891,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,39,10,20,8,1,2.0,European Census Only
1896,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,80,16,53,9,2,3.3125,European Census Only
1901,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,105,23,69,10,3,3.0,European Census Only
1906,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,144,39,92,10,3,2.359,European Census Only
1911,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,165,52,99,11,3,1.9038,European Census Only
1921,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,166,83,75,6,2,0.9036,General Census (Simultaneous)
1926,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,190,95,86,7,2,0.9053,General Census (Simultaneous)
1931,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,237,118,107,8,4,0.9068,General Census (Simultaneous)
1936,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,279,140,126,10,3,0.9,General Census (Simultaneous)
1946,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,296,148,133,10,5,0.8986,General Census (Simultaneous)
1956,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,310,155,140,11,4,0.9032,General Census (Simultaneous)
1891,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,545,170,235,118,22,1.3824,European Census Only
1896,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,1037,276,611,120,30,2.2138,European Census Only
1901,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,1391,412,796,142,41,1.932,European Census Only
1906,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,1943,693,1061,143,46,1.531,European Census Only
1911,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,2281,922,1151,157,51,1.2484,European Census Only
1921,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,2461,1472,868,85,36,0.5897,General Census (Simultaneous)
1926,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,2817,1686,992,97,42,0.5884,General Census (Simultaneous)
1931,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,3525,2110,1242,121,52,0.5886,General Census (Simultaneous)
1936,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,4151,2484,1462,143,62,0.5886,General Census (Simultaneous)
1946,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,4974,2966,1768,167,73,0.5961,General Census (Simultaneous)
1956,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,5778,3436,2068,191,83,0.6019,General Census (Simultaneous)
1891,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,190,67,72,43,8,1.0746,European Census Only
1896,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,350,108,187,44,11,1.7315,European Census Only
1901,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,473,162,244,52,15,1.5062,European Census Only
1906,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,665,272,325,52,16,1.1949,European Census Only
1911,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,790,362,353,57,18,0.9751,European Census Only
1921,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,888,577,266,31,14,0.461,General Census (Simultaneous)
1926,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,1016,660,305,36,15,0.4621,General Census (Simultaneous)
1931,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,1271,826,381,44,20,0.4613,General Census (Simultaneous)
1936,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,1497,973,449,52,23,0.4615,General Census (Simultaneous)
1946,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,1587,1032,476,56,23,0.4612,General Census (Simultaneous)
1956,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,1662,1080,499,58,25,0.462,General Census (Simultaneous)
1891,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,3299,659,1712,843,85,2.5979,European Census Only
1896,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,6509,1072,4460,861,116,4.1604,European Census Only
1901,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,8580,1600,5806,1013,161,3.6288,European Census Only
1906,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,8648,1990,5723,758,177,2.8759,European Census Only
1911,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,9884,2648,6211,829,196,2.3455,European Census Only
1921,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,9550,4225,4682,449,194,1.1082,General Census (Simultaneous)
1926,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,10931,4835,5360,515,221,1.1086,General Census (Simultaneous)
1931,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,13675,6049,6705,644,277,1.1084,General Census (Simultaneous)
1936,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,16103,7124,7895,758,326,1.1082,General Census (Simultaneous)
1946,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,20512,9090,10036,970,416,1.1041,General Census (Simultaneous)
1956,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,24893,11043,12164,1180,506,1.1015,General Census (Simultaneous)
1891,HSU_TABARKA,Tabarka,طبرقة,North-West,329,85,156,76,12,1.8353,European Census Only
1896,HSU_TABARKA,Tabarka,طبرقة,North-West,640,139,406,78,17,2.9209,European Census Only
1901,HSU_TABARKA,Tabarka,طبرقة,North-West,851,207,529,92,23,2.5556,European Census Only
1906,HSU_TABARKA,Tabarka,طبرقة,North-West,1173,349,705,93,26,2.0201,European Census Only
1911,HSU_TABARKA,Tabarka,طبرقة,North-West,1360,464,765,102,29,1.6487,European Census Only
1921,HSU_TABARKA,Tabarka,طبرقة,North-West,1396,740,577,55,24,0.7797,General Census (Simultaneous)
1926,HSU_TABARKA,Tabarka,طبرقة,North-West,1598,848,660,63,27,0.7783,General Census (Simultaneous)
1931,HSU_TABARKA,Tabarka,طبرقة,North-West,2000,1062,826,79,33,0.7778,General Census (Simultaneous)
1936,HSU_TABARKA,Tabarka,طبرقة,North-West,2354,1249,972,93,40,0.7782,General Census (Simultaneous)
1946,HSU_TABARKA,Tabarka,طبرقة,North-West,2885,1526,1194,115,50,0.7824,General Census (Simultaneous)
1956,HSU_TABARKA,Tabarka,طبرقة,North-West,3408,1800,1412,137,59,0.7844,General Census (Simultaneous)
1891,HSU_TATAOUINE,Tataouine,تطاوين,South,41,14,15,10,2,1.0714,European Census Only
1896,HSU_TATAOUINE,Tataouine,تطاوين,South,75,23,40,10,2,1.7391,European Census Only
1901,HSU_TATAOUINE,Tataouine,تطاوين,South,101,34,52,12,3,1.5294,European Census Only
1906,HSU_TATAOUINE,Tataouine,تطاوين,South,143,58,70,12,3,1.2069,European Census Only
1911,HSU_TATAOUINE,Tataouine,تطاوين,South,170,77,76,13,4,0.987,European Census Only
1921,HSU_TATAOUINE,Tataouine,تطاوين,South,189,123,57,7,2,0.4634,General Census (Simultaneous)
1926,HSU_TATAOUINE,Tataouine,تطاوين,South,217,141,65,8,3,0.461,General Census (Simultaneous)
1931,HSU_TATAOUINE,Tataouine,تطاوين,South,271,176,81,9,5,0.4602,General Census (Simultaneous)
1936,HSU_TATAOUINE,Tataouine,تطاوين,South,319,207,96,11,5,0.4638,General Census (Simultaneous)
1946,HSU_TATAOUINE,Tataouine,تطاوين,South,338,220,101,12,5,0.4591,General Census (Simultaneous)
1956,HSU_TATAOUINE,Tataouine,تطاوين,South,355,231,106,12,6,0.4589,General Census (Simultaneous)
1891,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,565,120,312,112,21,2.6,European Census Only
1896,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,1151,195,813,115,28,4.1692,European Census Only
1901,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,1523,291,1058,135,39,3.6357,European Census Only
1906,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,2079,489,1410,137,43,2.8834,European Census Only
1911,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,2378,650,1531,150,47,2.3554,European Census Only
1921,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,2307,1038,1154,81,34,1.1118,General Census (Simultaneous)
1926,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,2641,1188,1320,93,40,1.1111,General Census (Simultaneous)
1931,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,3305,1487,1653,115,50,1.1116,General Census (Simultaneous)
1936,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,3891,1751,1945,136,59,1.1108,General Census (Simultaneous)
1946,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,4509,2029,2255,158,67,1.1114,General Census (Simultaneous)
1956,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,5103,2297,2552,179,75,1.111,General Census (Simultaneous)
1891,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,236,61,116,50,9,1.9016,European Census Only
1896,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,463,99,301,51,12,3.0404,European Census Only
1901,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,616,147,392,60,17,2.6667,European Census Only
1906,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,851,248,523,61,19,2.1089,European Census Only
