census_year,census_date,title,series_title,bnf_notice_id,gallica_ark,gallica_url,publisher,publication_place,publication_year,doc_type,coverage_scope,admin_granularity,variables,notes
1908,1905-1940,Statistique du service vétérinaire et des épizooties (Police sanitaire du cheptel et mortalité animale),Bulletin de la Direction générale de l'agriculture / Statistique générale,cb32757727j,ark:/12148/cb32757727j,https://gallica.bnf.fr/ark:/12148/cb32757727j,Direction générale de l'Agriculture / Service Vétérinaire,Tunis,1909,epizootic_and_livestock_health_census,rural_herds_and_flocks,"controle_civil,caidat,poste_sanitaire",sheep_pox_clavelee_foci; anthrax_outbreaks_count; livestock_mortality_headcount; vaccinations_administered; quarantined_animals_border,"Regional epidemiological census of livestock health, pastoral herd mortality, and quarantine controls across pastoral caïdats."
1910,1910-1935,Statistique des terres de colonisation et des concessions agricoles (Colonisation officielle et privée),Bulletin de la Direction générale de l'agriculture / Statistique générale de la Tunisie,cb32757727j,ark:/12148/cb32757727j,https://gallica.bnf.fr/ark:/12148/cb32757727j,Direction générale de l'Agriculture / Service de la colonisation,Tunis,1911,land_concession_census,colonial_agricultural_estates,"controle_civil,caidat,centre_colonisation",concession_acreage_french; concession_acreage_italian; number_of_colonial_farms; settler_families_count; expropriated_habous_acreage,"Censuses of European landholding, agricultural colonization lots, and European agrarian settlement across rural caïdats."
1911,1911-03-05,Dénombrement de la population civile européenne et dénombrement estimatif de la population indigène au 5 mars 1911,Statistique générale de la Tunisie - Année 1911,cb328727346,ark:/12148/bpt6k5852403j,https://gallica.bnf.fr/ark:/12148/bpt6k5852403j,"Direction générale de l'agriculture, du commerce et de la colonisation",Tunis,1912,european_census_with_indigenous_estimates,all_europeans_and_native_estimates,"controle_civil,caidat,commune",pop_french; pop_italian; pop_maltese; pop_other_european; pop_tunisian_muslim_est; pop_tunisian_jewish_est; pop_total_est,European nominal count paired with fiscal-based native estimates across caïdats.
1912,1906-1956,"Archives de l'Institut Pasteur de Tunis : Enquêtes démographiques, épidémiologiques et sanitaires",Archives de l'Institut Pasteur de Tunis,cb343779032,ark:/12148/cb343779032,https://gallica.bnf.fr/ark:/12148/cb343779032,Institut Pasteur de Tunis (Dir. Charles Nicolle),Tunis,1912,epidemiological_sanitary_census,national_and_tribal_foci,"controle_civil,caidat,oasis,nomadic_camp",cause_specific_mortality; infant_mortality_rate; malaria_splenic_index; typhus_foci_cases; tuberculosis_prevalence; trachoma_index,"Serial scientific quarterly reporting detailed regional mortality, disease incidence, and sanitary censuses across Tunisian towns, oases, and nomadic confederations."
1918,1914-1919,Recrutement militaire et contingents du 4e Régiment de Tirailleurs Tunisiens (Circonscriptions de conscription et pertes 1914-1918),Historiques des corps de troupe coloniaux / Journal officiel tunisien,cb34015671k,ark:/12148/bpt6k6327338z,https://gallica.bnf.fr/ark:/12148/cb328014521,Commandement supérieur des troupes de Tunisie / Ministère de la Guerre,Tunis / Paris,1920,military_conscription_and_casualty_census,male_cohort_age_19_to_25,"controle_civil,caidat,cheikhat",conscripted_men_indigenous; volunteers_count; mobilized_cohort_size; casualties_dead_for_france; wounded_and_invalids_pensions,"Administrative census of indigenous conscription contingents and military casualties per caïdat and cheikhat during WWI, offering critical micro-demographic data on young male cohorts."
1920,1920-05-01,"Enquête sur les salaires ouvriers, le coût de la vie et le chômage en Tunisie (Direction du travail)",Direction du Travail et du Commerce de la Régence de Tunis,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Imprimerie rapide,Tunis,1921-1955,Labor Market & Wage Survey,Centres urbains et bassins miniers,"Grandes villes, Mines, Ports","Taux de salaire journalier par qualification et ethnicité (ouvrier européen vs ouvrier tunisien), indice des prix de détail des 21 denrées de base, effectifs au chômage, grèves","Empirical foundation for assessing the colonial wage gap, standard of living trends, and labor mobilization across the interwar and post-WWII eras."
1920,1890-1956,Statistique des fondations pieuses et des biens Habous (Enquête foncière sur les biens de mainmorte),Statistique générale de la Tunisie / Publications de l'Administration des Habous,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Administration générale des Habous / Direction des Finances,Tunis,1921,religious_endowment_habous_census,habous_properties_and_tenants,"controle_civil,caidat,fondation_habous",habous_public_acreage; habous_private_acreage; habous_olive_trees_count; enzel_perpetual_leases_count; peasant_tenant_families; endowment_revenue_francs,"Territorial surveys of public (*aziza*) and familial (*khass*) religious endowment properties, counting perpetual tenant farmers (*enzélistes*), olive groves, and agricultural rents per caïdat."
1921,1921-03-06,Dénombrement de la population civile européenne et indigène en Tunisie au 6 mars 1921,Recensement de 1921,cb32755776c,ark:/12148/cb32755776c,https://gallica.bnf.fr/ark:/12148/cb32755776c,Direction générale de l'Intérieur,Tunis,1922,general_census,comprehensive,"controle_civil,caidat,cheikhat,commune",pop_french; pop_italian; pop_maltese; pop_other_european; pop_tunisian_muslim; pop_tunisian_jewish; pop_other_indigenous; pop_total; households,First comprehensive general census of Tunisia covering both indigenous (Muslims and Jews) and European populations by caïdat and cheikhat.
1924,1923-1954,Statistique des naturalisations françaises accordées en Tunisie (Décret du 20 décembre 1923 et législation consécutive),Bulletin de la Statistique générale de la France / Statistique générale de la Tunisie,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Résidence générale de France en Tunisie / Ministère de la Justice,Tunis / Paris,1925,citizenship_and_naturalization_census,naturalized_citizens_by_origin,"controle_civil,commune,caidat",naturalizations_tunisian_muslims; naturalizations_tunisian_jews; naturalizations_italians; naturalizations_maltese; professions_of_naturalized_citizens,"Official census of French naturalizations granted under the disputed 1923 decree, detailing nationality of origin, religion, profession, and residence, reflecting Franco-Italian diplomatic competition."
1925,1910-1955,Statistique de l'industrie oléicole : Recensement des huileries traditionnelles (maasras) et modernes,Statistique générale de la Tunisie / Publications de l'Office de l'Huile,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Office de l'Huile de Tunisie / Direction générale de l'Agriculture,Tunis,1926,agro_industrial_olive_mill_census,olive_processing_establishments,"commune,centre_oleicole,caidat",traditional_animal_presses_maasras; modern_hydraulic_steam_mills; crushing_capacity_quintals_per_day; oil_extraction_production_tonnage; seasonal_press_workers_headcount,"Comprehensive census of olive-processing agro-industrial facilities, differentiating traditional animal-driven presses (*maasras*) from European steam/hydraulic mills, with worker counts and extraction yields by caïdat."
1925,1925-11-01,"Statistique des palmeraies, des eaux d'irrigation et du peuplement oasien du Djérid et du Nefzaoua",Services des Affaires Indigènes et de l'Agriculture du Sud,cb32861655f,ark:/12148/cb32861655f,https://gallica.bnf.fr/ark:/12148/cb32861655f,Imprimerie officielle,Tunis,1926-1952,Oasis Demographics & Palm Census,"Oasis de Tozeur, Nefta, Degache, Kébili, Douz, El Hamma de Gabès","Oasis, Cheikhat oasien","Recensement des palmiers Deglet Nour et palmiers communs, répartition des droits d'eau traditionnels (Gadous / Kharrouba), métayers oasiens (Khammès), population sédentaire vs nomade","Detailed demographic and agrarian survey of southern Tunisian oasis agrarian structures, tenure relations, and water share divisions."
1926,1926-04-20,Dénombrement de la population civile européenne en Tunisie au 20 avril 1926,Recensement de 1926 (Fascicule II: Européens),cb32755777q,ark:/12148/cb32755777q,https://gallica.bnf.fr/ark:/12148/cb32755777q,Direction générale de l'Intérieur,Tunis,1927,general_census_european,european_population,"controle_civil,caidat,commune,centre_colonisation",pop_french; pop_italian; pop_maltese; pop_other_european; pop_european_total; sex; age_brackets; professions,Companion volume to the 1926 indigenous census detailing European population.
1926,1926-04-20,Dénombrement de la population civile indigène (musulmane et israélite) en Tunisie au 20 avril 1926,Recensement de 1926 (Fascicule I: Indigènes),cb32755777q,ark:/12148/cb32755777q,https://gallica.bnf.fr/ark:/12148/cb32755777q,Direction générale de l'Intérieur,Tunis,1927,general_census_indigenous,indigenous_population,"controle_civil,caidat,cheikhat,commune",pop_tunisian_muslim; pop_tunisian_jewish; pop_other_indigenous; pop_indigenous_total; households; sedentary_vs_nomadic,Published in two complementary fascicules. This volume contains complete cheikhat breakdowns for the native population.
1928,1883-1930,L'œuvre scolaire de la France en Tunisie (1883-1930) et Statistiques de l'enseignement,Publications de la Direction générale de l'instruction publique et des beaux-arts,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Direction générale de l'Instruction publique et des Beaux-Arts,Tunis,1930,educational_census,all_schools_and_students,"controle_civil,commune,centre_scolaire",schools_count_public; schools_count_private_and_kuttab; pupils_french; pupils_italian; pupils_maltese; pupils_tunisian_muslim; pupils_tunisian_jewish; pupils_girls_boys,"Exhaustive census of schools and student enrollment by religion, nationality, and gender across all towns and localities in Tunisia (as used by Ben Salah, Chambru, & Fourati 2024)."
1930,1928-1953,Recensement de la circulation sur les routes nationales et régionales de la Tunisie (Comptages routiers),Statistique générale de la Tunisie / Bulletin des Travaux Publics,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Direction générale des Travaux Publics / Service des Ponts et Chaussées,Tunis,1931,road_traffic_and_transport_census,classified_road_network,"poste_de_comptage,axe_routier,controle_civil",daily_traffic_automobiles; daily_traffic_trucks_and_buses; animal_drawn_carts_count; camel_caravans_count; total_gross_tonnage_transported,"Periodic 24-hour and seasonal census of vehicular and animal traffic on key highway and provincial road intersections, capturing the mechanization of inter-regional transport."
1931,1931-03-22,Dénombrement de la population civile européenne en Tunisie au 22 mars 1931,Recensement de 1931 (Fascicule II: Européens),cb327557782,ark:/12148/bpt6k992053d,https://gallica.bnf.fr/ark:/12148/bpt6k992053d,Direction générale de l'Intérieur,Tunis,1932,general_census_european,european_population,"controle_civil,caidat,commune,centre_colonisation",pop_french; pop_italian; pop_maltese; pop_other_european; pop_european_total; sex; age_brackets; professions; education_level,European volume for 1931. Contains granular town and center level data.
1931,1931-03-22,Dénombrement de la population civile indigène (musulmane et israélite) en Tunisie au 22 mars 1931,Recensement de 1931 (Fascicule I: Indigènes),cb327557782,ark:/12148/bpt6k992053d,https://gallica.bnf.fr/ark:/12148/bpt6k992053d,Direction générale de l'Intérieur,Tunis,1932,general_census_indigenous,indigenous_population,"controle_civil,caidat,cheikhat,commune",pop_tunisian_muslim; pop_tunisian_jewish; pop_indigenous_total; households; tents_and_gourbis; houses_in_hard_materials,"Third quinquennial general census. Includes detailed housing indicators (maisons, gourbis, tentes) by cheikhat."
1935,1925-1940,Dénombrement des tribus nomades et semi-nomades : Enquête sur le nomadisme et la transhumance (Achaba),Publications de la Direction de l'Intérieur et des Affaires Indigènes,cb32861655f,ark:/12148/cb32861655f,https://gallica.bnf.fr/ark:/12148/cb32861655f,Direction de l'Intérieur / Service des Renseignements et des Contrôles Civils,Tunis,1935,pastoral_and_nomadism_census,steppe_and_saharan_pastoralists,"caidat,confederation_tribale,fraction_douar",tents_count_khaimas; sedentary_vs_tent_dwelling_ratio; transhumant_flocks_size; tribal_fraction_sheikhs; summer_tell_pasture_migrants,"Monographic and administrative counts of mobile pastoralist populations in the Central and Southern steppes (Hammama, Fraichiche, Ouerghemma, Beni Zid, M'razig), recording tent counts and seasonal pastoral migrations."
1936,1936-03-12,Dénombrement de la population civile européenne et tunisienne en Tunisie au 12 mars 1936,Statistique générale de la Tunisie - Année 1936 / Recensement de 1936,cb32755779d,ark:/12148/bpt6k91056547,https://gallica.bnf.fr/ark:/12148/bpt6k91056547,"Direction générale de l'Agriculture, du Commerce et de la Colonisation / Service de la statistique générale",Tunis,1937,general_census,comprehensive,"controle_civil,caidat,cheikhat,commune",pop_french; pop_italian; pop_maltese; pop_other_european; pop_tunisian_muslim; pop_tunisian_jewish; pop_foreign_indigenous; pop_total; households; sex_ratio; urban_rural,Benchmark pre-WWII general census combining both European and native populations in a single unified volume with complete cheikhat breakdowns.
1936,1936-03-12,Recensement de la population active par branches économiques et professions (Recensements de 1936 et 1946),Direction générale des Finances / Service de la statistique générale,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Imprimerie rapide,Tunis,1938,labor_and_occupational_census,active_labor_force,"controle_civil,caidat,commune",pop_active_agriculture; pop_active_mining_industry; pop_active_crafts_artisans; pop_active_commerce_transport; pop_active_public_administration; pop_inactive,"Granular occupational structure of the Tunisian and European population, disaggregating agricultural laborers, khammès, phosphate miners, dockers, craftsmen, and civil servants."
1936,1936-03-12,"Recensement des logements, habitations et locaux : Maisons en dur, gourbis, tentes et troglodytes",Recensement général de la population de 1936,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Imprimerie rapide,Tunis,1937,housing_and_dwelling_census,all_residential_structures,"commune,caidat,cheikhat",maisons_maconnerie; gourbis_ruraux; tentes_nomades; habitations_troglodytiques; menages_recenses; pieces_par_logement,"Exhaustive census of physical dwelling types across Tunisia, capturing traditional rural gourbis, Bedouin tents, and troglodytic dwellings in Matmata and Tataouine."
1941,1941-10-15,Recensement spécial des Israélites de Tunisie (Application du statut des Juifs sous le régime de Vichy),Publications officielles du Secrétariat général du gouvernement tunisien,cb328014521,ark:/12148/cb328014521,https://gallica.bnf.fr/ark:/12148/cb328014521,Résidence générale de France en Tunisie (Amiral Esteva) / Journal Officiel Tunisien,Tunis,1941,special_confessional_census,jewish_population_exhaustive,"controle_civil,caidat,commune",pop_jewish_tunisian; pop_jewish_french; pop_jewish_italian_livornese; pop_jewish_foreign; jewish_owned_enterprises; real_estate_holdings; professions_distribution,Nominal and statistical census of all Jewish persons and businesses executed under the Vichy antisemitic statutes of June/September 1941.
1945,1922-1952,Recensement électoral et listes des électeurs au Grand Conseil de la Tunisie (Sections française et tunisienne),Journal officiel tunisien / Publications administratives,cb328014521,ark:/12148/cb328014521,https://gallica.bnf.fr/ark:/12148/cb328014521,Secrétariat général du gouvernement tunisien,Tunis,1946,electoral_census,qualified_voters_and_notables,"circonscription_electorale,caidat,commune",registered_voters_french_section; registered_voters_tunisian_section; taxpayer_notables_count; chambers_of_commerce_voters; chambers_of_agriculture_voters,"Censuses of voters and taxpaying elites eligible to vote for the Grand Conseil, chambers of commerce, and chambers of agriculture by caïdat and electoral district."
1946,1946-10-01,"Bulletin économique et social de la Tunisie (BEST) : Enquêtes démographiques, économiques et structures agraires (1946-1955)",Résidence générale de France en Tunisie. Direction de l'Information,cb344265778,ark:/12148/cb344265778,https://gallica.bnf.fr/ark:/12148/cb344265778,Direction de l'Information (Résidence générale),Tunis,1946-1955,Economic and Demographic Bulletin,Régence de Tunis (All regions and sectors),"Contrôle Civil, Caïdat, Centres urbains","Estimations intercensitaires de la population, recensements des entreprises industrielles, indices des salaires et du coût de la vie, production céréalière et oléicole, emploi par branche",Crucial postwar socioeconomic serial providing continuous annual intercensal indicators connecting the 1946 and 1956 general censuses.
1946,1946-11-01,Recensement général de la population de la Tunisie du 1er novembre 1946,Publications du Service des statistiques,cb34015672x,ark:/12148/cb34015672x,https://gallica.bnf.fr/ark:/12148/cb34015672x,Service des statistiques / Secrétariat général du gouvernement tunisien,Tunis,1947,general_census,comprehensive,"controle_civil,region,caidat,commune",pop_tunisian_muslim; pop_tunisian_jewish; pop_french; pop_italian; pop_other; pop_total; age_pyramids; sex; marital_status; socio_professional_categories,First census with mechanized Hollerith processing and comprehensive demographic/sociodemographic structures.
1950,1936-1954,"Enquête sur l'habitat, les bidonvilles et la population gourbivilloise de Tunis et des grands centres",Publications de la Direction de l'Urbanisme et de l'Habitat / Monographies de l'IHEST,cb32861655f,ark:/12148/cb32861655f,https://gallica.bnf.fr/ark:/12148/cb32861655f,Secrétariat général du gouvernement / Direction de l'Urbanisme et de l'Habitat (Paul Sebag & Jacques Berque),Tunis,1951,urban_housing_and_slum_demographic_census,metropolitan_substandard_dwellings,"commune,quartier,ilot_urbain,gourbiville",gourbi_dwellings_count; shack_slum_dwellers_count; overcrowding_rooms_ratio; migrant_origin_by_caidat; informal_employment_rate,"Precise sociodemographic censuses of urban housing conditions, overcrowding in the Medina and Hara, and the growth of peripheral shantytowns (Borgel, Djebel Djelloud, Saïda Manoubia, Mellassine) tracking rural exodus by caïdat of origin."
1956,1956-02-01,Recensement général de la population de la Tunisie du 1er février 1956 : répartition géographique de la population,Publications du Service des statistiques,cb340156739,ark:/12148/cb340156739,https://gallica.bnf.fr/ark:/12148/cb340156739,Service des statistiques / Secrétariat général du gouvernement tunisien,Tunis,1957,general_census,comprehensive,"circonscription,caidat,cheikhat,commune",pop_tunisian_muslim; pop_tunisian_jewish; pop_french; pop_italian; pop_other_foreign; pop_total; households; housing_types; economic_activity,Final colonial-era general census conducted weeks before independence (20 March 1956). Forms the baseline bridge to independent Tunisia (1966 RGPH).
